,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
67,GATANGA,Urban,Male,125%,109.01%,95.45%,13.89%,40.74%,0%,0%,0%,30,121,63,15,44,0,0,0,273,24,111,66,201,108,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.88791928,-0.876497537,"(-0.876497537, 36.88791928)",66
68,GATANGA,Urban,Female,148.15%,100.88%,101.2%,25.55%,43.07%,0%,0%,0%,40,115,84,35,59,0,0,0,333,27,114,83,224,137,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.88791928,-0.876497537,"(-0.876497537, 36.88791928)",67
69,GATUNDU,Urban,Male,118.75%,108.13%,105.95%,10.82%,13.43%,0%,0.21%,0%,171,532,178,29,36,0,2,0,948,144,492,168,804,268,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.85558237,-0.959326055,"(-0.959326055, 36.85558237)",68
70,GATUNDU,Urban,Female,109.79%,109.63%,96.65%,15.61%,6.94%,0.58%,0%,0%,157,569,202,54,24,2,0,0,1008,143,519,209,871,346,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.85558237,-0.959326055,"(-0.959326055, 36.85558237)",69
71,MOMBASA,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6977,-3.9685,"(-3.9685, 39.6977)",70
72,MOMBASA,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6977,-3.9685,"(-3.9685, 39.6977)",71
73,KILINDINI,Rural,Male,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6365,-4.0383,"(-4.0383, 39.6365)",72
74,KILINDINI,Rural,Female,#N/A,#N/A,#N/A,,,,,#N/A,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6365,-4.0383,"(-4.0383, 39.6365)",73
75,KWALE,Rural,Male,123.69%,113.19%,34.18%,3.3%,1.12%,0.96%,0.05%,0.22%,5399,17493,2124,203,69,59,12,58,25417,4365,15455,6215,26035,6159,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.40753681,-4.221293887,"(-4.221293887, 39.40753681)",74
76,KWALE,Rural,Female,115.39%,107.45%,30.1%,6.74%,0.79%,0.71%,0.24%,0.26%,5024,16169,1804,476,56,50,56,65,23700,4354,15048,5993,25395,7066,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.40753681,-4.221293887,"(-4.221293887, 39.40753681)",75
77,KINANGO,Rural,Male,121.67%,113.29%,20.48%,1.35%,0.57%,0.64%,0.01%,0.05%,9168,29623,2026,104,44,49,4,20,41038,7535,26148,9894,43577,7684,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.10335046,-3.96233059,"(-3.96233059, 39.10335046)",76
78,KINANGO,Rural,Female,118.27%,104.21%,12.46%,0.5%,0.19%,0.38%,0.03%,0.02%,8836,26832,1123,52,20,39,12,9,36923,7471,25749,9014,42234,10353,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.10335046,-3.96233059,"(-3.96233059, 39.10335046)",77
79,MSAMBWENI,Rural,Male,101.17%,105.11%,22.2%,1.21%,0.47%,0.57%,0.03%,0.32%,7494,25256,2022,97,38,46,11,129,35093,7407,24028,9108,40543,8037,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.16173404,-4.397198722,"(-4.397198722, 39.16173404)",78
80,MSAMBWENI,Rural,Female,103.78%,96.64%,15.46%,0.68%,0.26%,0.36%,0.11%,0.29%,7489,22976,1338,66,25,35,36,114,32079,7216,23774,8656,39646,9696,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.16173404,-4.397198722,"(-4.397198722, 39.16173404)",79
81,KILIFI,Rural,Male,133.26%,115.91%,27.71%,1.74%,0.99%,0.91%,0.02%,0.02%,16909,52826,4953,248,141,130,14,15,75236,12689,45575,17877,76141,14258,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.60114414,-3.494969907,"(-3.494969907, 39.60114414)",80
82,KILIFI,Rural,Female,129.73%,110.35%,18.53%,1.29%,0.31%,0.56%,0.26%,0.04%,16157,49556,3101,210,51,91,179,31,69376,12454,44910,16736,74100,16293,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.60114414,-3.494969907,"(-3.494969907, 39.60114414)",81
83,KALOLENI,Rural,Male,150.24%,112.39%,33.84%,1.73%,0.89%,0.86%,0.03%,0.01%,11537,29416,3679,160,82,80,13,5,44972,7679,26172,10871,44722,9262,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.54477529,-3.768179495,"(-3.768179495, 39.54477529)",82
84,KALOLENI,Rural,Female,150.13%,104.63%,23.66%,1.3%,0.36%,0.71%,0.1%,0.05%,11315,27509,2375,138,38,75,40,20,41510,7537,26292,10038,43867,10612,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.54477529,-3.768179495,"(-3.768179495, 39.54477529)",83
85,MALINDI,Rural,Male,135.65%,114.37%,24.84%,1.63%,0.65%,0.49%,0.03%,0.07%,13124,38247,3239,185,74,55,15,41,54980,9675,33441,13042,56158,11320,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.74330931,-2.934879654,"(-2.934879654, 39.74330931)",84
86,MALINDI,Rural,Female,132.58%,106.89%,16.34%,1.02%,0.24%,0.39%,0.14%,0.06%,12465,34946,1956,130,31,49,70,31,49678,9402,32693,11967,54062,12685,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.74330931,-2.934879654,"(-2.934879654, 39.74330931)",85
87,TANA RIVER,Rural,Male,71.79%,70.52%,16.84%,0.93%,0.57%,3.04%,0.14%,2.15%,3356,9973,774,39,24,128,21,503,14818,4675,14142,4596,23413,4209,Tana River,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.34922935,-0.942366175,"(-0.942366175, 39.34922935)",86
88,TANA RIVER,Rural,Female,66.61%,57.71%,6.59%,0.3%,0.17%,0.07%,0.66%,1.63%,2986,7681,299,18,10,4,75,365,11438,4483,13310,4537,22330,5947,Tana River,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.34922935,-0.942366175,"(-0.942366175, 39.34922935)",87
89,TANA DELTA,Rural,Male,97.08%,89.91%,24.4%,1.15%,0.48%,0.14%,0.05%,2.38%,3593,10858,1060,48,20,6,8,478,16071,3701,12076,4344,20121,4175,Tana River,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.51654731,-2.317407934,"(-2.317407934, 39.51654731)",88
90,TANA DELTA,Rural,Female,90.74%,81.54%,14.84%,0.47%,0.19%,0.04%,0.31%,2.33%,3313,9258,568,22,9,2,42,438,13652,3651,11354,3827,18832,4651,Tana River,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.51654731,-2.317407934,"(-2.317407934, 39.51654731)",89
91,LAMU,Rural,Male,118.21%,114.07%,40.08%,1.47%,1.06%,0.47%,0.05%,0.89%,3109,10275,1530,65,47,21,8,137,15192,2630,9008,3817,15455,4434,Lamu,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.74388079,-2.018858269,"(-2.018858269, 40.74388079)",90
92,LAMU,Rural,Female,120.15%,105.88%,31.45%,1.33%,0.5%,0.24%,0.14%,0.94%,2970,9187,1053,50,19,9,19,136,13443,2472,8677,3348,14497,3766,Lamu,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,40.74388079,-2.018858269,"(-2.018858269, 40.74388079)",91
93,TAITA,Rural,Male,109.96%,125.64%,52.08%,5.88%,1.46%,3.24%,0.08%,0.01%,4859,21666,4097,496,123,273,26,4,31544,4419,17244,7867,29530,8433,Taita Taveta,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.56492447,-3.416968032,"(-3.416968032, 38.56492447)",92
94,TAITA,Rural,Female,107.75%,121.2%,50.03%,8.67%,1.23%,2.71%,0.2%,0.02%,4544,20632,3806,633,90,198,60,5,29968,4217,17023,7608,28848,7298,Taita Taveta,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,38.56492447,-3.416968032,"(-3.416968032, 38.56492447)",93
95,TAVETA,Rural,Male,102.28%,122.83%,33.92%,1.97%,1.22%,0.71%,0.01%,0.02%,1523,6608,757,47,29,17,1,2,8984,1489,5380,2232,9101,2381,Taita Taveta,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.97519351,-3.41452877,"(-3.41452877, 37.97519351)",94
96,TAVETA,Rural,Female,93.04%,120.19%,27.38%,1.94%,0.44%,1.11%,0.07%,0%,1364,6055,512,40,9,23,6,0,8009,1466,5038,1870,8374,2065,Taita Taveta,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.97519351,-3.41452877,"(-3.41452877, 37.97519351)",95
97,MOMBASA,Urban,Male,129.82%,112.73%,79.35%,14.58%,8.7%,1.66%,0.16%,0.54%,15945,45782,14132,4067,2427,464,137,384,83338,12282,40611,17810,70703,27900,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6977,-3.9685,"(-3.9685, 39.6977)",96
98,MOMBASA,Urban,Female,129.04%,110.95%,64.49%,12.68%,5.41%,1.1%,0.24%,0.57%,15446,45584,12714,4437,1894,384,198,414,81071,11970,41085,19716,72771,35003,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6977,-3.9685,"(-3.9685, 39.6977)",97
99,KILINDINI,Urban,Male,124.89%,113.47%,74.48%,11.62%,5.25%,1.62%,0.19%,0.28%,12821,35930,9159,2554,1153,356,117,151,62241,10266,31665,12298,54229,21976,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6365,-4.0383,"(-4.0383, 39.6365)",98
100,KILINDINI,Urban,Female,122.61%,111.31%,57.33%,8.45%,2.49%,1.05%,0.22%,0.23%,12609,36040,7938,2354,694,293,134,130,60192,10284,32378,13847,56509,27865,Mombasa,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.6365,-4.0383,"(-4.0383, 39.6365)",99
101,KWALE,Urban,Male,140.32%,118.54%,40.35%,4.59%,3.71%,1.42%,0.05%,0.14%,790,2545,349,42,34,13,2,5,3780,563,2147,865,3575,916,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.40753681,-4.221293887,"(-4.221293887, 39.40753681)",100
102,KWALE,Urban,Female,140.1%,112.31%,53.77%,5.71%,1.76%,0.59%,0.02%,0.1%,849,2518,542,68,21,7,1,4,4010,606,2242,1008,3856,1190,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.40753681,-4.221293887,"(-4.221293887, 39.40753681)",101
103,KINANGO,Urban,Male,128.33%,127.55%,60.61%,6.35%,2.65%,0.53%,0.12%,0%,308,1111,257,24,10,2,2,0,1714,240,871,424,1535,378,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.10335046,-3.96233059,"(-3.96233059, 39.10335046)",102
104,KINANGO,Urban,Female,134.93%,122.65%,44.52%,5.95%,0.23%,0.23%,0.19%,0%,282,1083,187,26,1,1,3,0,1583,209,883,420,1512,437,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.10335046,-3.96233059,"(-3.96233059, 39.10335046)",103
105,MSAMBWENI,Urban,Male,121.57%,122.67%,44.8%,5.27%,2.73%,1.02%,0.1%,0.56%,2925,10020,1575,218,113,42,15,79,14987,2406,8168,3516,14090,4134,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.16173404,-4.397198722,"(-4.397198722, 39.16173404)",104
106,MSAMBWENI,Urban,Female,119.02%,117.62%,38.36%,4.96%,1.76%,0.5%,0.13%,0.64%,2766,9746,1398,259,92,26,19,91,14397,2324,8286,3644,14254,5218,Kwale ,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.16173404,-4.397198722,"(-4.397198722, 39.16173404)",105
107,KILIFI,Urban,Male,131.63%,113.96%,59.07%,10.42%,7.47%,0.84%,0.15%,0.31%,3924,11561,2438,543,389,44,28,53,18980,2981,10145,4127,17253,5209,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.60114414,-3.494969907,"(-3.494969907, 39.60114414)",106
108,KILIFI,Urban,Female,127.93%,111.55%,48.13%,10.38%,4.1%,0.89%,0.11%,0.09%,3696,11461,2118,714,282,61,20,16,18368,2889,10274,4401,17564,6878,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.60114414,-3.494969907,"(-3.494969907, 39.60114414)",107
109,KALOLENI,Urban,Male,146.53%,115.2%,64.39%,5.05%,3.4%,1.55%,0.08%,0.16%,1540,3767,866,98,66,30,5,9,6381,1051,3270,1345,5666,1940,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.54477529,-3.768179495,"(-3.768179495, 39.54477529)",108
110,KALOLENI,Urban,Female,142.34%,112.72%,47.51%,5.09%,1.19%,0.94%,0.22%,0.18%,1375,3668,705,124,29,23,13,10,5947,966,3254,1484,5704,2438,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.54477529,-3.768179495,"(-3.768179495, 39.54477529)",109
111,MALINDI,Urban,Male,144.16%,114.31%,55.01%,5.7%,2.91%,0.64%,0.04%,0.24%,5520,14729,2908,404,206,45,9,53,23874,3829,12885,5286,22000,7082,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.74330931,-2.934879654,"(-2.934879654, 39.74330931)",110
112,MALINDI,Urban,Female,141.54%,108.34%,39.92%,6.16%,1.51%,0.46%,0.07%,0.2%,5602,14198,2273,550,135,41,17,46,22862,3958,13105,5694,22757,8923,Kilifi,COAST,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,39.74330931,-2.934879654,"(-2.934879654, 39.74330931)",111
